# Time(s) i_C(A) V_C(V) V_R5(V) V_L1(V) Vg1(V) Vg2(V)
0.00285000 0.30063045 158.14253969 3.00630449 35.35040077 145.08719118 48.36239706
0.00286000 0.29429511 158.43999901 2.94295110 35.26759288 145.38239647 48.46079882
0.00287000 0.28800182 158.73114393 2.88001825 35.18334240 145.67553555 48.55851185
0.00288000 0.28175172 159.01601706 2.81751718 35.09765194 145.96660426 48.65553475
0.00289000 0.27554589 159.29466212 2.75545890 35.01052435 146.25559847 48.75186616
0.00290000 0.26938542 159.56712395 2.69385418 34.92196267 146.54251405 48.84750468
0.00291000 0.26327136 159.83344843 2.63271358 34.83197021 146.82734695 48.94244898
0.00292000 0.25720474 160.09368249 2.57204739 34.74055047 147.11009310 49.03669770
0.00293000 0.25118657 160.34787406 2.51186567 34.64770719 147.39074849 49.13024950
0.00294000 0.24521782 160.59607210 2.45217824 34.55344433 147.66930913 49.22310304
0.00295000 0.23929947 160.83832650 2.39299469 34.45776607 147.94577107 49.31525702
0.00296000 0.23343243 161.07468814 2.33432435 34.36067681 148.22013037 49.40671012
0.00297000 0.22761763 161.30520879 2.27617630 34.26218117 148.49238313 49.49746104
0.00298000 0.22185594 161.52994111 2.21855940 34.16228399 148.76252549 49.58750850
0.00299000 0.21614822 161.74893866 2.16148223 34.06099033 149.03055360 49.67685120
0.00300000 0.21049531 161.96225582 2.10495314 33.95830545 149.29646366 49.76548789
0.00301000 0.20489802 162.16994783 2.04898023 33.85423484 149.56025188 49.85341729
0.00302000 0.19935713 162.37207067 1.99357134 33.74878419 149.82191452 49.94063817
0.00303000 0.19387341 162.56868115 1.93873406 33.64195939 150.08144787 50.02714929
0.00304000 0.18844757 162.75983678 1.88447573 33.53376657 150.33884822 50.11294941
0.00305000 0.18308034 162.94559583 1.83080345 33.42421204 150.59411192 50.19803731
0.00306000 0.17777240 163.12601724 1.77772403 33.31330231 150.84723535 50.28241178
0.00307000 0.17252441 163.30116062 1.72524406 33.20104412 151.09821491 50.36607164
0.00308000 0.16733699 163.47108624 1.67336987 33.08744438 151.34704702 50.44901567
0.00309000 0.16221075 163.63585499 1.62210752 32.97251022 151.59372816 50.53124272
0.00310000 0.15714628 163.79552834 1.57146282 32.85624894 151.83825482 50.61275161
0.00311000 0.15214413 163.95016833 1.52144133 32.73866807 152.08062351 50.69354117
0.00312000 0.14720484 164.09983755 1.47204836 32.61977529 152.32083081 50.77361027
0.00313000 0.14232890 164.24459912 1.42328895 32.49957851 152.55887329 50.85295776
0.00314000 0.13751679 164.38451662 1.37516789 32.37808578 152.79474757 50.93158252
0.00315000 0.13276897 164.51965413 1.32768972 32.25530538 153.02845030 51.00948343
0.00316000 0.12808587 164.65007614 1.28085872 32.13124575 153.25997816 51.08665939
0.00317000 0.12346789 164.77584758 1.23467892 32.00591549 153.48932785 51.16310928
0.00318000 0.11891541 164.89703376 1.18915409 31.87932342 153.71649612 51.23883204
0.00319000 0.11442877 165.01370035 1.14428774 31.75147849 153.94147974 51.31382658
0.00320000 0.11000832 165.12591337 1.10008316 31.62238985 154.16427551 51.38809184
0.00321000 0.10565433 165.23373914 1.05654335 31.49206679 154.38488026 51.46162675
0.00322000 0.10136711 165.33724429 1.01367107 31.36051881 154.60329086 51.53443029
0.00323000 0.09714688 165.43649569 0.97146884 31.22775552 154.81950421 51.60650140
